"Date","Price","Open","High","Low","Vol.","Change %"
"19/07/2019","1,902.32","1,902.32","1,902.32","1,902.32","","-0.30%"
"18/07/2019","1,908.06","1,907.51","1,908.10","1,907.45","","0.04%"
"17/07/2019","1,907.24","1,907.63","1,907.73","1,907.08","","0.00%"
"16/07/2019","1,907.33","1,907.41","1,907.54","1,906.99","","0.01%"
"15/07/2019","1,907.13","1,907.05","1,907.21","1,907.01","","0.04%"
"12/07/2019","1,906.37","1,905.96","1,906.45","1,905.95","","0.06%"
"11/07/2019","1,905.26","1,905.06","1,905.51","1,904.25","","0.05%"
"10/07/2019","1,904.26","1,903.64","1,904.61","1,902.93","","0.15%"
"09/07/2019","1,901.48","1,897.92","1,901.90","1,897.92","","0.05%"
"08/07/2019","1,900.45","1,899.48","1,900.81","1,898.64","","-0.06%"
"05/07/2019","1,901.50","1,899.27","1,901.67","1,895.68","","0.04%"
"03/07/2019","1,900.80","1,898.09","1,901.13","1,897.63","","0.22%"
"02/07/2019","1,896.57","1,892.50","1,897.32","1,891.01","","0.23%"
"01/07/2019","1,892.21","1,893.21","1,894.02","1,888.30","","0.66%"
"28/06/2019","1,879.81","1,877.61","1,883.72","1,875.08","","0.34%"
"27/06/2019","1,873.38","1,872.41","1,875.58","1,870.85","","0.23%"
"26/06/2019","1,869.02","1,873.03","1,875.35","1,867.59","","0.00%"
"25/06/2019","1,868.99","1,879.40","1,879.44","1,868.11","","-0.53%"
"24/06/2019","1,878.89","1,881.32","1,881.61","1,878.37","","0.03%"
"21/06/2019","1,878.42","1,878.42","1,878.42","1,878.42","","-0.16%"
"20/06/2019","1,881.50","1,881.62","1,881.65","1,881.03","","0.03%"
"19/06/2019","1,880.91","1,878.88","1,881.14","1,877.35","","0.14%"
"18/06/2019","1,878.27","1,877.06","1,879.48","1,876.83","","0.25%"
"17/06/2019","1,873.54","1,873.57","1,875.34","1,872.49","","0.14%"
"14/06/2019","1,870.98","1,869.09","1,872.52","1,866.80","","0.06%"
"13/06/2019","1,869.95","1,868.87","1,870.44","1,866.52","","0.26%"
"12/06/2019","1,865.18","1,865.64","1,866.72","1,862.93","","0.01%"
"11/06/2019","1,865.03","1,870.65","1,870.85","1,862.09","","0.05%"
"10/06/2019","1,864.19","1,865.50","1,868.60","1,863.63","","0.25%"
"07/06/2019","1,859.54","1,852.94","1,862.09","1,852.78","","0.66%"
"06/06/2019","1,847.40","1,839.36","1,850.73","1,837.20","","0.47%"
"05/06/2019","1,838.75","1,834.63","1,839.04","1,824.21","","0.74%"
"04/06/2019","1,825.26","1,806.02","1,826.67","1,802.42","","2.02%"
"03/06/2019","1,789.04","1,795.51","1,801.91","1,780.31","","-0.29%"
"31/05/2019","1,794.19","1,799.45","1,804.61","1,792.89","","-1.17%"
"30/05/2019","1,815.34","1,816.78","1,821.42","1,808.64","","0.21%"
"29/05/2019","1,811.49","1,813.35","1,816.56","1,801.33","","-0.52%"
"28/05/2019","1,821.01","1,835.81","1,840.25","1,821.01","","-0.61%"
"24/05/2019","1,832.18","1,836.76","1,838.46","1,828.75","","0.21%"
"23/05/2019","1,828.34","1,832.22","1,832.32","1,820.27","","-0.86%"
"22/05/2019","1,844.13","1,842.95","1,846.90","1,841.48","","-0.09%"
"21/05/2019","1,845.80","1,842.53","1,847.17","1,841.81","","0.62%"
"20/05/2019","1,834.34","1,833.85","1,839.24","1,829.83","","-0.32%"
"17/05/2019","1,840.28","1,840.28","1,840.28","1,840.28","","-1.16%"
"16/05/2019","1,861.87","1,852.25","1,869.16","1,851.25","","0.85%"
"15/05/2019","1,846.14","1,824.06","1,850.12","1,822.11","","0.65%"
"14/05/2019","1,834.23","1,826.56","1,844.82","1,825.07","","0.83%"
"13/05/2019","1,819.11","1,830.51","1,833.30","1,812.15","","-1.94%"
"10/05/2019","1,855.07","1,842.61","1,858.05","1,824.50","","0.63%"
"09/05/2019","1,843.48","1,835.00","1,846.46","1,825.77","","-0.10%"
"08/05/2019","1,845.40","1,846.08","1,852.98","1,842.10","","-0.03%"
"07/05/2019","1,846.02","1,857.19","1,857.39","1,836.11","","-0.96%"
"06/05/2019","1,863.93","1,854.38","1,864.81","1,854.38","","-0.16%"
"03/05/2019","1,866.99","1,864.34","1,867.41","1,864.24","","0.36%"
"02/05/2019","1,860.30","1,859.84","1,862.89","1,853.88","","-0.02%"
"01/05/2019","1,860.59","1,865.84","1,866.55","1,859.40","","-0.18%"
"30/04/2019","1,864.00","1,863.55","1,865.46","1,860.73","","-0.02%"
"29/04/2019","1,864.39","1,863.87","1,865.23","1,863.68","","0.08%"
"26/04/2019","1,862.95","1,860.01","1,863.08","1,858.22","","0.17%"
"25/04/2019","1,859.75","1,858.52","1,861.14","1,855.35","","0.02%"
"24/04/2019","1,859.47","1,860.92","1,861.47","1,858.75","","-0.09%"
"23/04/2019","1,861.12","1,856.82","1,861.71","1,856.49","","0.28%"
"22/04/2019","1,855.95","1,851.48","1,856.34","1,851.19","","0.13%"
"18/04/2019","1,853.54","1,853.54","1,853.54","1,853.54","","0.08%"
"17/04/2019","1,852.01","1,852.01","1,852.03","1,851.96","","0.01%"
"16/04/2019","1,851.82","1,851.89","1,851.91","1,851.77","","0.01%"
"15/04/2019","1,851.68","1,851.62","1,851.70","1,851.52","","0.03%"
"12/04/2019","1,851.17","1,850.99","1,851.18","1,850.92","","0.04%"
"11/04/2019","1,850.44","1,850.32","1,850.57","1,850.09","","0.02%"
"10/04/2019","1,849.99","1,848.98","1,850.05","1,848.75","","0.09%"
"09/04/2019","1,848.40","1,848.53","1,849.02","1,847.87","","-0.05%"
"08/04/2019","1,849.25","1,848.37","1,849.25","1,847.85","","0.05%"
"05/04/2019","1,848.27","1,847.25","1,848.27","1,847.02","","0.11%"
"04/04/2019","1,846.24","1,845.15","1,846.30","1,844.50","","0.08%"
"03/04/2019","1,844.73","1,845.69","1,846.12","1,843.19","","0.03%"
"02/04/2019","1,844.15","1,843.20","1,844.51","1,842.34","","0.06%"
"01/04/2019","1,843.11","1,840.15","1,843.34","1,839.69","","0.44%"
"29/03/2019","1,835.01","1,833.69","1,835.70","1,830.60","","0.37%"
"28/03/2019","1,828.27","1,826.63","1,829.19","1,821.50","","0.29%"
"27/03/2019","1,822.95","1,828.12","1,829.27","1,815.25","","-0.22%"
"26/03/2019","1,826.94","1,825.86","1,829.67","1,821.35","","0.51%"
"25/03/2019","1,817.74","1,815.77","1,821.42","1,811.26","","0.08%"
"22/03/2019","1,816.29","1,831.45","1,832.31","1,815.66","","-0.97%"
"21/03/2019","1,834.13","1,825.44","1,835.34","1,825.44","","0.35%"
"20/03/2019","1,827.79","1,828.05","1,832.75","1,823.51","","-0.12%"
"19/03/2019","1,829.90","1,833.42","1,833.82","1,826.88","","-0.01%"
"18/03/2019","1,830.04","1,828.59","1,830.70","1,826.75","","0.15%"
"15/03/2019","1,827.34","1,827.34","1,827.34","1,827.34","","0.02%"
"14/03/2019","1,826.98","1,826.81","1,827.00","1,826.75","","0.02%"
"13/03/2019","1,826.53","1,826.00","1,826.63","1,825.90","","0.17%"
"12/03/2019","1,823.47","1,823.35","1,824.97","1,823.09","","0.09%"
"11/03/2019","1,821.91","1,811.53","1,822.27","1,811.37","","0.83%"
"08/03/2019","1,806.84","1,796.17","1,808.66","1,794.35","","0.03%"
"07/03/2019","1,806.32","1,811.84","1,812.24","1,801.24","","-0.41%"
"06/03/2019","1,813.70","1,818.07","1,818.30","1,812.18","","-0.24%"
"05/03/2019","1,817.98","1,817.75","1,819.40","1,815.07","","0.03%"
"04/03/2019","1,817.49","1,821.06","1,821.36","1,808.04","","-0.08%"
"01/03/2019","1,818.98","1,817.99","1,819.31","1,814.75","","0.33%"
"28/02/2019","1,813.01","1,825.43","1,825.43","1,812.55","","-0.06%"
"27/02/2019","1,814.05","1,812.23","1,825.31","1,808.07","","0.05%"
"26/02/2019","1,813.20","1,812.17","1,815.38","1,811.91","","-0.02%"
"25/02/2019","1,813.64","1,815.95","1,816.71","1,813.01","","0.09%"
"22/02/2019","1,811.99","1,808.42","1,812.09","1,807.86","","0.31%"
"21/02/2019","1,806.35","1,807.08","1,808.13","1,802.38","","-0.11%"
"20/02/2019","1,808.34","1,806.23","1,809.40","1,804.87","","0.15%"
"19/02/2019","1,805.71","1,800.46","1,807.59","1,800.33","","0.18%"
"15/02/2019","1,802.49","1,802.49","1,802.49","1,802.49","","0.16%"
"14/02/2019","1,799.68","1,799.47","1,799.76","1,799.41","","0.01%"
"13/02/2019","1,799.48","1,799.44","1,799.54","1,799.41","","0.02%"
"12/02/2019","1,799.11","1,798.55","1,799.14","1,798.50","","0.07%"
